"l_magTitle","b_factrow","b_factrow 2","b_factrow 3","opHours","e_green","nowrap","rms_img src"
"Atlas Livraison : Agence Sidi Bernoussi","Freight forwarding agency","Casablanca","·","· Closes 18:30","Open","+212 520-136066",""
"Atlas livraison","Corporate office","44 Boulevard Khalid Ibn Al Walid شارع خالد ابن الوليد, Casablanca","·","· Closes 17:30","Open","+212 5226-65366",""
"Le Cuistot Traditionnel","Moroccan","37 Rue Al Houcine Ibn Ali, Casablanca","·","· Closes 23:00","Open","+212 5222-73911","https://th.bing.com/th?id=OLC.7HEu%2bR0zYcxfTA480x360&w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Amoud Anfa","·","Bakery","‏26 Blvd Al Massira Al Khadra شارع‏ المسيرة‏ الخضراء, الدار البيضاء","· Closes 20:30","Open","+212 5223-90709","https://th.bing.com/th?id=OLC.8C8k%2bYXOnnK%2fIQ480x360&w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Nicolas Casablanca Mers Sultan","Retail","83 Avenue Mers Sultan شارع مرس السلطان, Casablanca","·","· Closes 20:00","Open","+212 5227-69000","https://th.bing.com/th/id/OLC.mVo3s4Moslz7Bg480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Burger King - Maarif","·","Burgers","269 Rue Abdellah Rajii, Casablanca","· Closes 01:00","Open","+212 5222-53934","https://th.bing.com/th/id/OLC.sAXpGrw4pWmfBg480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"fleuriste casablanca / Wanda Fleurs","Florist","‏17 Rue d'Agadir زنقة‏ أكادير, الدار البيضاء","·","· Closes 19:00","Open","+212 764-055803","https://th.bing.com/th?id=OLC.UI68Ru8efHUX%2fA480x360&w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Paul Palmier","Patisserie/cake Shop","57 Boulevard Mohamed Abdou شارع محمد عبده, Casablanca","·","· Closes 21:00","Open","+212 5222-59209","https://th.bing.com/th?id=OLC.D7%2f94VofkAX1ig480x360&w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"LivreZone - Marketplace pour achat et vente des livres neufs et d'occasion","Bookstore","125 Rue Zerhoune, Casablanca","·","· Closes 17:00","Open","+212 711-214131","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Moumni Goulmima","Restaurant","615 Rue de Goulmima, الدار البيضاء","·","· Closes 00:00","Open","+212 5224-92626","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Nicolas Casablanca Maarif","Beverage store","Rue Abou Abdellah Nafii, الدار البيضاء","·","· Closes 19:45","Open","+212 5229-85414","https://th.bing.com/th/id/OLC.1l504bxC0VZygw480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"SMASH - Burger Casablanca","Burgers","‏42 Rue Ibnou Mounir زنقة‏ ابن‏ منير, الدار البيضاء","·","· Closes 23:00","Open","+212 660-676464","https://th.bing.com/th?id=OLC.sYSZCH%2fwkM%2fnHA480x360&w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Livraison pharmacie Casablanca","Pharmacy","80 Rue Mask Ellil زنقة مسك الليل, Casablanca","·","","Open 24 hours","+212 702-138679","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Service de livraison","Grocery store","Casablanca","·","· Closes 23:59","Open","+212 714-134224","https://th.bing.com/th/id/OLC.QLBx17hni6ejoA480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Sushiclub • Marina Shopping Center","·","Sushi","2 Shari' Muhammad Ibn Abd Allah, Casablanca","· Closes 22:00","Open","+212 5222-04106","https://th.bing.com/th/id/OLC.LRUnAFGx3lAZRQ480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Ozon Express : Service de livraison à domicile des colis & de repas","Courier & delivery services","16 Rue 159 زنقة, Casablanca","","","","","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Rapide Livraison casablanca 24h/7j Ziko Livreur","Food delivery service","47 Boulevard Al Quds شارع القدس, Casablanca","·","","Open 24 hours","+212 713-147521","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"MODA BLANCA","Clothing store","‏58 Rue de l'Atlas زنقة‏ الأطلس, الدار البيضاء","·","· Closes 21:00","Open","+212 658-925413","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"TMPM Maroc - Livraison express colis et fret","Freight forwarding agency","‏40 Boulevard de Bordeaux شارع‏ بوردو, الدار البيضاء","·","","Open 24 hours","+212 703-110211","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Ozon Express Derb Omar","Courier & delivery services","632 Boulevard Mohammed VI شارع محمد السادس, Casablanca","·","· Closes 18:00","Open","+212 520-199919","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Luigi Maârif","·","Italian","‏17 Rue Normandie زنقة‏ نورماندي, الدار البيضاء","· Closes 23:30","Open","+212 5223-90271","https://th.bing.com/th?id=OLC.OHZBpxYzJga%2fUQ480x360&w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Primos Chicken Abdelmoumen","Fast food","87 Rue Salim Echerkaoui, الدار البيضاء","·","· Closes 01:00","Open","+212 5222-02060","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Livraison rapide - casablanca","Courier & delivery services","54 Rue 18 زنقة, Casablanca","·","","Open 24 hours","+212 771-284772","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"McDonald's Maârif","Fast food","32 Rue Ahmed El Joumari زنقة أحمد الجوماري, Casablanca","·","· Closes 00:00","Open","+212 5229-81373","https://th.bing.com/th/id/OLC.bgepA2Tr7ONKgA480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"La Grillardière Gauthier","·","Barbecue","14 Rue Taha Houcine زنقة طه حسين, Casablanca","· Closes 00:00","Open","+212 5224-84929","https://th.bing.com/th/id/OLC.gNE19rnyUAdbGQ480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"JOA 2MARS","·","Korean","6 Rue Gascogne, Casablanca","· Closes 23:00","Open","+212 520-240024","https://th.bing.com/th/id/OLC.ye8cMn8kxuqfDw480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Chronopost International Maroc (Siège social)","Freight & cargo service","110 Boulevard Zerktouni شارع الزرقطوني, Casablanca","·","· Closes 17:00","Open","+212 5222-07575","https://th.bing.com/th/id/OLC.aLvjIPIw2mh9lw480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"La Grillardière Racine","·","Barbecue","‏Rue de la Bastille زنقة‏ الباستيل, الدار البيضاء","· Closes 00:00","Open","+212 5229-45840","https://th.bing.com/th/id/OLC.w4HYSJ0iDd935w480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Marina Juice","·","Restaurant","58 Boulevard de la Corniche, Casablanca","· Closes 00:00","Open","+212 5229-40708","https://th.bing.com/th?id=OLC.f6SDE%2bCv7WD7Ew480x360&w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"French Naan | Dark Kitchen Casablanca | Livraison de repas Sidi Maarouf","","Fast food","‏Rue Al Banafsaj زنقة‏ البنفسج, الدار البيضاء","","","+212 770-173829","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Zirax Transport - livraison à domicile","Courier & delivery services","116 Boulevard des Forces Auxiliaires, Casablanca","·","","Open 24 hours","+212 660-980978","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Atlas livraison : agence Ain chok","Courier & delivery services","20 Rue 186 زنقة, Casablanca","·","· Closes 17:30","Open","+212 5222-11775","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Pomme De Pain","Fast food","Rue Mohamed Sedki & Blvd Ziraoui, Casablanca","·","· Closes 00:00","Open","+212 5222-00202","https://th.bing.com/th/id/OLC.ShjY4FJ3g5LLmg480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Amorino","Food","203 Urban Square, Casablanca","·","· Closes 22:00","Open","+212 5223-69717","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Kamoun","Moroccan","8 Rue Isli زنقة إيسلي, Casablanca","·","· Closes 22:00","Open","+212 520-636520","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Chocodiva","Chocolatier","‏74 Blvd Al Massira Al Khadra شارع‏ المسيرة‏ الخضراء, الدار البيضاء","·","· Opens 15:30","","+212 5223-67188","https://th.bing.com/th/id/OLC.TMqCk3S79Yc0JA480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Jumia Maroc","E commerce service","‏155 Boulevard d'Afghanistan شارع‏ أفغانستان, الدار البيضاء","·","· Closes 19:00","Open","+212 5220-41818","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Nomo","Restaurant","47 Rue Abbas Mahmoud Al Akkad, Casablanca","·","· Closes 23:00","Open","+212 663-460030","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"MAROC ORGANIC","Importer and exporter","Casablanca","·","· Closes 18:00","Open","+212 661-693811","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"E+ Distribution SARL - Meslentilles.ma","E commerce service","198 Boulevard Ziraoui, Casablanca","·","· Closes 18:30","Open","+212 661-649577","https://th.bing.com/th/id/OLC.0tEEjXI3NbvhGA480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Consigne Express Relais Gare Casa port","Boulevard des Almohades, Casablanca","·","Courier & delivery services","","Open 24 hours","+212 5223-00900","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Pomme de Pain Abdelmoumen","·","Fast food","‏119 Boulevard de Baghdad شارع‏ بغداد, الدار البيضاء","· Closes 00:00","Open","+212 5222-25600","https://th.bing.com/th?id=OLC.pyXv2Y7Gb06%2f%2fw480x360&w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Pomme de Pain Racine","Fast food","11 Rue Ibnou Yaala Al Ifrani زنقة ابن يعلى الإفراني, Casablanca","·","· Closes 00:00","Open","+212 5223-96565","https://th.bing.com/th?id=OLC.qIqETtFS%2bhMSKw480x360&w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Larsons Café Bistrot Gourmand","·","Restaurant","‏25 Rue Hafid Ibrahim زنقة‏ حافظ‏ ابراهيم, الدار البيضاء","· Closes 23:00","Open","+212 520-333369","https://th.bing.com/th?id=OLC.%2bpQ4pr7XRX8ePA480x360&w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"MaroCourse","Food delivery service","50 Boulevard Mohamed Zerktouni, Casablanca","·","· Closes 00:00","Open","+212 696-583719","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"DIGYLOG - AGENCE DIOURI CASA","Courier & delivery services","95 Rue d'Azilal, Casablanca","·","· Closes 18:00","Open","+212 5282-20946","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Bloom Chocolaterie","Chocolatier","22 Rue Al Mortada زنقة المرتضى, Casablanca","·","· Closes 19:00","Open","+212 5222-35665","https://th.bing.com/th?id=OLC.918xnN3z%2btZ65Q480x360&w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Chocolate Gallery - Racine","Chocolatier","9 Rue d'Auteuil, الدار البيضاء","·","· Closes 21:00","Open","+212 520-404240","https://r.bing.com/rp/x5cFUfAm445Z8lJcsV2pLCL1fn8.png"
"Fast Coursier","Freight forwarding agency","81 Boulevard de la Résistance, الدار البيضاء","·","· Closes 19:00","Open","+212 696-551168","https://th.bing.com/th/id/OLC.g4dzhiB6glp2YA480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Yassamine.ma","Lingerie store","‏43 Rue Omar Slaoui زنقة‏ عمر‏ السلاوي, الدار البيضاء","·","· Closes 20:30","Open","+212 664-472878","https://th.bing.com/th/id/OLC.L1A80WwIbR50oQ480x360?w=114&h=114&c=8&rs=1&qlt=90&cdv=1&dpr=1.5&pid=Local"
"Consigne Express Relais","138 Boulevard d'Anfa شارع أنفا, Casablanca","·","Courier & delivery services","","Open 24 hours","+212 5223-00900",""
"CTM Messagerie","Courier & delivery services","11 Boulevard Commandant Abdelkrim Al Khattabi, الدار البيضاء","","","","",""
"SAT Messagerie: Transport & Messagerie (La Gironde)","Transportation","31 Boulevard Lahcen Ouidder, Casablanca","·","· Closes 21:00","Open","+212 5224-44470",""
"Bim taja","Supermarket","Casablanca","","· Closes 21:00","Open","",""
"PRALINOR Artisan Chocolatier - Gauthier","Chocolatier","‏71 Rue Taha Houcine زنقة‏ طه‏ حسين, الدار البيضاء","·","· Closes 20:00","Open","+212 5222-60477",""
"LASOLDA","E commerce service","3 Rue van Zeeland, الدار البيضاء","·","· Closes 18:00","Open","+212 600-213237",""
"Agence WAFACASH VERDUN","51 Boulevard de Bordeaux, Casablanca","","","","","",""
"SDTM : Transport de Marchandises & Messageries_Casablanca Belvédère","Transportation","6 Rue Chaporal Chef Ben Yassine Med, Casablanca","·","· Closes 21:30","Open","+212 663-727929",""
"Mymenu","E commerce service","Casablanca","·","· Closes 18:00","Open","+212 661-066307",""
"coursierma","Corporate office","73 Rue 73, الدار البيضاء","·","· Closes 02:00","Open","+212 678-232076",""
"Al-Mounia","·","Moroccan","95 Rue du Prince Moulay Abdellah زنقة الأمير مولاي عبد الله, Casablanca","· Closes 23:30","Open","+212 5222-22669",""
"Marjane Market liberté","Boulevard de la Liberté & Bd Rahal El Meskini, Casablanca","·","Supermarket","· Closes 22:00","Open","+212 80-2022050",""
"KAALIX","Courier & delivery services","‏14 Rue Aïn Sidi Ali زنقة‏ عين‏ سيدي‏ علي, الدار البيضاء","·","· Closes 18:00","Open","+212 664-866719",""
"Holy Brunch","·","Breakfast & Brunch restaurant","Casablanca","· Closes 18:00","Open","+212 653-817826",""
"La Fonda Gauthier","Butcher shop","‏61 Rue Moussa Bnou Noussair زنقة‏ موسى‏ بن‏ نصير, الدار البيضاء","·","· Closes 20:00","Open","+212 5224-85135",""
"BIM d’agadir","Convenience store","‏Rue El Houdhoud زنقة‏ الهدهد, الدار البيضاء","","· Closes 21:00","Open","",""
"lasosda","Women's clothing store","‏Rue Salim Cherkaoui زنقة‏ سليم‏ الشرقاوي, الدار البيضاء","·","· Closes 18:00","Open","+212 5222-60348",""
"BIM بيم","Convenience store","Rue Réunion, Casablanca","","· Closes 21:00","Open","",""
"Marjane Market Les Hôpitaux","Supermarket","Rue Arrachati, الدار البيضاء","·","· Closes 22:00","Open","+212 80-2022050",""
"Pizza Lahbib Bourgogne","·","Pizza","48 Boulevard Abou Al Waqt Khalaf شارع أبو الوقت خلف, Casablanca","· Closes 00:00","Open","+212 5222-70215",""
"Bershka","Clothing store","‏Blvd Al Massira Al Khadra شارع‏ المسيرة‏ الخضراء, الدار البيضاء","·","· Closes 21:00","Open","+212 5229-47294",""
"Green Para - Parapharmacie Maroc ,Parapharmacie en ligne, Parapharmacie Casablanca Maroc","Pharmacy","25 Rue Ilya Abou Madi, Casablanca","·","· Closes 21:00","Open","+212 661-202046",""
"coursier tellme","Courier & delivery services","123 Rue EssanoIbar, Casablanca","·","· Closes 23:00","Open","+212 678-232076",""
"Boucherie Diouri","Butcher shop","17 Rue Mohamed Diouri, Casablanca","·","· Closes 21:00","Open","+212 665-176540",""
"Wafacash","‏Blvd Abdelmoumen شارع‏ عبد‏ المومن, الدار البيضاء","·","","· Closes 19:00","Open","+212 695-126374",""
"Lefties","Clothing store","1 Almohad Boulevard, Casablanca","·","· Closes 21:00","Open","+212 664-208087",""
"Marjane Market","Supermarket","15 Avenue Tan Tan شارع طانطان, Casablanca","","","Open 24 hours","",""
"Youpack","Business to business","8 Rue du Gabon زنقة الغابون, Casablanca","·","· Closes 18:30","Open","+212 660-955665",""
"HB Conso Maroc","Business office supplies & stationery","14 Rue Dixmude, الدار البيضاء","·","· Closes 19:00","Open","+212 600-966713",""
"Marjane Marina","Casablanca","·","Retail","· Closes 22:00","Open","+212 80-2022050",""
"DeFacto","Clothing store","Casablanca","·","· Closes 22:00","Open","+212 664-738887",""
"BIM بيم","Convenience store","61 Rue Ibnou Nafiss زنقة ابن نفيس, Casablanca","·","· Closes 21:00","Open","+212 618-121514",""
"BIM بيم","Convenience store","Boulevard Zerktouni, Casablanca","·","· Closes 21:00","Open","+212 655-228678",""
"ELECTROPLANET","Retail","1 Shari' Muhammad Ibn Abd Allah, Casablanca","·","· Closes 22:00","Open","+212 80-2010102",""
"BIM بيم","Convenience store","Casablanca","","· Closes 21:00","Open","",""
"Speedy","Corporate office","7 Boulevard Al Massira Al Khadra شارع المسيرة الخضراء, Casablanca","·","· Closes 17:00","Open","+212 5229-74575",""
"KITEA : Mobilier & Décoration","Home goods store","‏87 Rue Taha Houcine زنقة‏ طه‏ حسين, الدار البيضاء","·","· Closes 21:00","Open","+212 80-2008002",""
"Diggicolis | Livraison E-commerce","Transportation","Lina Sidi Maarouf, Casablanca","·","· Closes 18:00","Open","+212 626-064033",""
"Floravea","13 Rue Entrecasteaux, Casablanca","·","Florist","· Closes 18:00","Open","+212 520-505083",""
"BIM","Supermarket","18 Rue Najib Mahfoud زنقة نجيب محفوظ, Casablanca","","· Closes 21:00","Open","",""
"Bim بيم","Supermarket","Boulevard du 11 Janvier, Casablanca","","· Closes 21:00","Open","",""
"BIM بيم","Supermarket","26 Rue Badr Assayab, Casablanca","·","· Closes 21:15","Open","+212 600-573713",""
"BIM STORES VIP","Convenience store","24 Rue Hadj Omar Riffi, Casablanca","","· Closes 22:00","Open","",""
"BIM","Convenience store","Rue Abdelouahed El Morrakch, El Jadida","","· Closes 22:00","Open","",""
"BIM بيم","Supermarket","3 Rue Kartaja زنقة قرطاجة, Casablanca","","· Closes 21:00","Open","",""
"BIM Stores","Supermarket","‏Rue Pierre Parent زنقة‏ بيير‏ باران, الدار البيضاء","","· Closes 22:00","Open","",""
"Kiabi Maarif","Clothing store","‏Rue Al Manaziz زنقة‏ المنازيز, الدار البيضاء","·","· Closes 21:00","Open","+33 9 69 32 00 23",""
"Allo Ayoub service livraison","Food delivery service","Mohammedia","·","","Open 24 hours","+212 679-076329",""
"BiM Stores","Supermarket","171 Rue Hadj Omar Riffi, Casablanca","","· Closes 21:00","Open","",""
"Miniso","22 Boulevard des Almohades, Casablanca","·","Retail","· Closes 21:00","Open","+212 5226-28162",""
"Société livraison Messagerie chahine","Courier & delivery services","40 Rue de l'ermitage, Urt","·","· Closes 23:59","Open","+212 661-313489",""
"FedEx Express : Transport & Courrier Express International","Freight & cargo service","‏298 Boulevard Mohammed V شارع‏ محمد‏ الخامس, الدار البيضاء","","· Closes 18:30","Open","",""
"Decathlon Marina","Sporting goods","1 Shari' Muhammad Ibn Abd Allah, Casablanca","·","· Closes 22:00","Open","+212 5222-24232",""
"B.Laban","Patisserie/cake Shop","‏6 Rue 2 زنقة, الدار البيضاء","·","· Closes 00:00","Open","+212 664-448464",""
"King Jouet Marina","Toy store","2 Shari' Muhammad Ibn Abd Allah, Casablanca","·","· Closes 21:00","Open","+212 666-224311",""
"Mcoursier Livraison","Food delivery service","46 Rue 42, الدار البيضاء","·","· Closes 22:00","Open","+212 663-028796",""
"Miniso Marinashopping","Fashion accessories store","Casablanca","·","· Closes 22:00","Open","+212 5224-91888",""
"Prestissimo Livraison Mohammédia","Courier & delivery services","Mohammedia, Casablanca-Settat","·","· Closes 23:00","Open","+212 634-392559",""
"Snfoor express | Livraison E-commerce","Freight forwarding agency","30 Boulevard Sidi Messaoud شارع سيدي مسعود, Casablanca","·","· Closes 18:00","Open","+212 665-442493",""
"TEXTMAR FACTORY","Clothing store","‏332 Boulevard Brahim Roudani شارع‏ ابراهيم‏ الروداني, الدار البيضاء","·","· Closes 18:30","Open","+212 639-749720",""
"Fleurs Alliance","Florist","‏72 Rue Moussa Bnou Noussair زنقة‏ موسى‏ بن‏ نصير, الدار البيضاء","·","· Closes 19:00","Open","+212 666-655233",""
"Mi Home - Xiaomi Store Casa","","Retail","215 Boulevard Mohamed Zerktouni شارع محمد الزرقطوني, Casablanca","","","+212 5229-40445",""
"INTERLAND Transport & Logistique","Freight & cargo service","1 Place Mirabeau, Casablanca","·","· Closes 17:30","Open","+212 5222-40456",""
