"l_magTitle","b_factrow","b_factrow 2","b_factrow 3","opHours","e_green","nowrap"
"Traiteur Tarik","Food delivery service","24 Avenue Liban, الرباط","·","· Closes 21:00","Open","+212 5377-04740"
"Repas Du Midi","Food delivery service","Rabat, Rabat-Salé-Kénitra","·","· Closes 23:59","Open","+212 708-036848"
"ISSAL XPRESS","Freight & cargo service","14 Rue Al Mohammadia, الرباط","","","","+212 661-966202"
"Metros De Pizza","Pizza","Rue Tansift, Rabat","·","· Closes 22:30","Open","+212 5377-72425"
"Sushi Express","Courier & delivery services","Impasse Kaid Bargach, Rabat","·","· Closes 21:00","Open","+212 617-474985"
"triporteur livraison hicham","Courier & delivery services","18 Rue Tazi, Rabat","·","· Closes 00:00","Open","+212 662-405983"
"Mon Dépanneur","Courier & delivery services","Rabat, Rabat-Salé-Kénitra","·","· Closes 23:00","Open","+212 654-120263"
"Flyship.express","Courier & delivery services","Place Bab El Mellah, Rabat","","· Closes 20:00","Open",""
"Livraison de McDonald's","Courier & delivery services","Avenue Fes, Salé","·","· Closes 20:05","Open","+212 673-465696"
"Service Messagerie Laayoune Rabat","Freight & cargo service","8 Rue Omar El Jadidi زنقة عمر الجديدي, Rabat","·","· Closes 19:00","Open","+212 5376-95559"
"GOPPION TEC","Distribution services","33 Rue Oulad Hariz, الرباط","·","· Closes 18:00","Open","+212 661-292713"
"FedEx Express : Transport & Courrier Express International","Freight & cargo service","‏23 Ave Tariq Ibn Ziyad شارع‏ طارق‏ بن‏ زياد, الرباط","·","· Closes 18:30","Open","+212 5224-58059"
"SDTM","Freight & cargo service","·","","· Closes 18:30","Open","+212 5372-06722"
"AJII","Courier & delivery services","","","","","+212 5372-30505"
"Pizza des Gourmets","Pizza","‏57 Rue Oued Sebou زنقة‏ واد‏ سبو, الرباط","·","· Closes 23:00","Open","+212 5376-86396"
"Jibli","Courier & delivery services","‏36 Ave Atlas شارع‏ الأطلس, الرباط","·","","Open 24 hours","+212 669-882929"
"ATHLETIC PIZZA RABAT","Pizza","40 Avenue Moulay Ismail, Rabat","·","· Closes 02:00","Open","+212 5377-00500"
"Pizza Ricca","Pizza","323 Avenue Mohamed V, Rabat","·","· Closes 23:30","Open","+212 5372-01000"
"Agence Aziz express messagerie","Freight & cargo service","Avenue Hassan II, Rabat","","","","+212 616-275836"
"Flyship","Courier & delivery services","17 Rue Oslo زنقة أوسلو, Rabat","","","",""
"Bghit","Courier & delivery services","Avenue Sidi Mohamed Ben Hassan, Salé","·","· Closes 23:30","Open","+212 708-780009"
"Event's Office","Freight & cargo service","‏56 Ave Hassan II شارع‏ الحسن‏ الثاني, الرباط","·","· Closes 18:00","Open","+212 607-300345"
"Inter Logistics Trade","Freight & cargo service","‏Résidence Badr, 400 Avenue Hassan II شارع‏ الحسن‏ الثاني, الرباط","·","","Open 24 hours","+212 636-151691"
"Fast Pizza","·","Pizza","465 Avenue Mohamed V, Rabat","· Closes 00:00","Open","+212 5372-63737"
"Restaurant Pizzeria Reggio","Pizza","19 Rue Al Achaari زنقة الأشعري, Rabat","·","· Closes 02:00","Open","+212 5377-76999"
"Snack Alhaouz","Pizza","17 Avenue Al Haouz, Rabat","·","· Closes 00:30","Open","+212 627-292145"
"Big Bito","Pizza","Rabat","","","",""
"مشواة نور","Pizza","Rabat","·","· Closes 00:00","Open","+212 670-030080"
"Pizza Mamamia","Pizza","Avenue Mohamed Zerktouni, Rabat","·","· Closes 00:00","Open","+212 639-051524"
"Les saveurs de chine 華夏中餐厅","Chinese","Rabat","·","· Closes 23:30","Open","+212 770-069111"
"Papaye Jus Et Pizza","Pizza","Avenue Al Haouz, Rabat","·","· Closes 23:30","Open","+212 5376-55083"
"Pizza Vera","Pizza","‏51 Avenue Atlas شارع‏ الأطلس, الرباط","·","· Closes 00:00","Open","+212 5377-70400"
"Snack M. Boujemaa","Pizza","22 Avenue de Michlifen, Rabat","·","· Closes 00:00","Open","+212 703-960004"
"La framboise","Pizza","34 Avenue Mali, الرباط","","","","+212 606-720909"
"Snack plus","Pizza","‏1 الطريق‏ الوطنية‏ 9, تيط مليل","·","· Closes 00:00","Open","+212 642-245822"
"Snak tanan","Pizza","71 Avenue Oqba, Rabat","","","",""
"Pizza RAFFINATA","Pizza","38 Avenue Abdelkrim Al Khattabi, Rabat","·","· Closes 00:00","Open","+212 661-737083"
"Restaurant Pizza Amigo","Pizza","‏4 Ave Assalam شارع‏ السلام, الرباط","","· Closes 23:30","Open",""
"Chinese market","Chinese","2 Rue Al Qadi Al Makki Al Bitaouri, Rabat","","· Opens Jul 21 at 10:30","",""
"Sam Sam taounat","","Freight & cargo service","‏429 Avenue Hassan II شارع‏ الحسن‏ الثاني, الرباط","","","+212 662-121411"
"Il Napoletano","Pizza","‏Résidence Badr, 14 Avenue Al Abtal شارع‏ الابطال, الرباط","","","",""
"Romano's Pizzeria","Pizza","206 Avenue John Kennedy, Rabat","","· Closes 00:00","Open",""
"Snack tacos","Pizza","Rue Bani Omrane, Rabat","","","","+212 646-999990"
